"price","profit","visitors","age","time"
450,21,363,5795,2016-02-18
450,17,9337,2722,2016-02-18
350,26,15874,804,2016-02-17
420,70,2436,1381,2016-02-17
585,55,2203,712,2016-02-17
225,0,0,1016,2016-02-16
600,35,0,2326,2016-02-16
550,17,13834,317,2016-02-16
2000,310,95924,470,2016-02-14
85,16,5221,347,2016-02-13
297,-1,1007,6526,2016-02-13
1550,76,7474,773,2016-02-13
1000,1,1944,439,2016-02-13
180,-2,936,2722,2016-02-13
400,56,5663,1047,2016-02-12
165,3,1619,1656,2016-02-12
300,19,1315,2599,2016-02-12
247,0,574,1869,2016-02-11
3500,255,19679,1350,2016-02-11
5000,12,5076,1230,2016-02-11
70,1,9679,985,2016-02-10
540,87,20,347,2016-02-10
805,88,55006,378,2016-02-09
1600,186,26113,470,2016-02-09
61,61,960,470,2016-02-09
1825,82,6734,1138,2016-02-08
1500,517,147895,743,2016-02-08
500,183,30,408,2016-02-08
149,20,3401,500,2016-02-08
500,110,1068,317,2016-02-07
1550,-47,596,712,2016-02-07
605,145,1148,592,2016-02-07
200,10,339,347,2016-02-07
562,109,979,378,2016-02-07
2350,99,5848,1473,2016-02-07
8250,620,180013,865,2016-02-06
650,64,3330,926,2016-02-06
1300,52,28441,1626,2016-02-05
135,31,0,985,2016-02-05
356,31,0,985,2016-02-05
2000,45,99141,500,2016-02-05
450,48,7861,804,2016-02-04
45,0,525,592,2016-02-04
250,0,6910,408,2016-02-04
138,0,211,378,2016-02-04
44,0,130,985,2016-02-04
2100,10,8769,1077,2016-02-04
3383,168,9246,531,2016-02-04
2750,171,39312,561,2016-02-04
90,18,2593,378,2016-02-03
400,119,1836,620,2016-02-03
1650,142,44877,408,2016-02-03
750,9,2097,985,2016-02-03
21,-2,90,3117,2016-02-03
7500,330,10295,3453,2016-02-03
90,-1,95,531,2016-02-02
7499,858,73840,2173,2016-02-02
444,0,208,1200,2016-02-02
2050,386,4399,378,2016-02-02
1150,6,7067,1626,2016-02-01
1100,65,9240,651,2016-02-01
600,-4,0,378,2016-02-01
1500,9,2997,1016,2016-02-01
3000,92,91294,1473,2016-02-01
206,60,34596,470,2016-02-01
46,3,7177,378,2016-01-30
905,402,16459,1808,2016-01-30
185,0,245,1687,2016-01-30
265,0,38,1626,2016-01-30
1799,169,18982,865,2016-01-30
200,3,1080,1261,2016-01-29
150,4,359,651,2016-01-29
1900,72,5331,1138,2016-01-29
820,7,26797,531,2016-01-29
104,38,266,1169,2016-01-29
1550,4,5278,835,2016-01-29
555,1,30858,439,2016-01-29
699,39,10041,378,2016-01-28
105,0,0,985,2016-01-28
250,19,6627,561,2016-01-28
900,57,0,2752,2016-01-27
430,1,1131,378,2016-01-27
530,46,0,3907,2016-01-27
400,4,0,957,2016-01-27
325,2599,1813,500,2016-01-26
720,1,840,1687,2016-01-26
4500,35,11542,2477,2016-01-26
49,0,36,1381,2016-01-26
7500,436,37006,1412,2016-01-26
49,-2,59,957,2016-01-25
140,25,0,1016,2016-01-25
2300,170,10328,3269,2016-01-24
330,9,2143,1869,2016-01-24
501,43,32948,561,2016-01-24
755,28,7792,682,2016-01-24
80,1,46,347,2016-01-22
4500,18,18199,1473,2016-01-22
1000,0,1415,2112,2016-01-22
1050,102,0,620,2016-01-21
450,37,12788,651,2016-01-21
410,29,1436,1016,2016-01-21
999,15,2926,531,2016-01-21
106,3,907,1839,2016-01-21
3000,85,46407,1047,2016-01-21
500,-7,1390,2326,2016-01-21
4500,123,71754,1047,2016-01-20
7500,426,37825,1839,2016-01-20
3050,522,30423,2112,2016-01-20
200,30,7258,500,2016-01-20
215,34,1701,4122,2016-01-19
81,1,1444,3542,2016-01-19
259,1,490,773,2016-01-19
1200,46,10125,651,2016-01-19
1300,5,1056,4944,2016-01-19
1400,61,2190,1961,2016-01-19
5500,0,2091,317,2016-01-19
505,5,854,1808,2016-01-19
1050,21,5375,1381,2016-01-18
2500,10,13311,3573,2016-01-18
310,296,8,500,2016-01-18
113,2,61,592,2016-01-18
100,-10,41,2053,2016-01-18
2272,237,3232,4638,2016-01-18
5651,158,1298,4060,2016-01-18
800,410,45232,347,2016-01-17
5000,170,61244,470,2016-01-17
3500,210,92723,682,2016-01-17
1000,404,187460,1230,2016-01-16
150,-3,81,470,2016-01-16
135,4,281,1016,2016-01-15
1500,295,97098,378,2016-01-15
368,5,442,3787,2016-01-15
300,1,1762,1047,2016-01-14
700,31,11421,408,2016-01-14
655,111,12996,347,2016-01-14
475,33,4475,1077,2016-01-14
430,4,857,1077,2016-01-14
250,39,4709,712,2016-01-13
805,77,44755,408,2016-01-13
1999,796,87838,926,2016-01-13
300,55,36137,592,2016-01-13
1000,23,3020,2173,2016-01-12
400,33,0,896,2016-01-12
505,115,46941,408,2016-01-12
1100,86,5055,2022,2016-01-12
2450,98,14478,926,2016-01-11
200,0,117,1503,2016-01-11
60,6,73,408,2016-01-11
4150,824,23524,2296,2016-01-10
5000,259,34803,1047,2016-01-09
700,350,23286,470,2016-01-09
75,0,48,4272,2016-01-09
2450,212,62871,1077,2016-01-09
1800,83,9080,2143,2016-01-09
599,17,7848,378,2016-01-08
200,8,5680,439,2016-01-07
160,0,254,470,2016-01-07
50,-10,4,347,2016-01-06
285,0,866,682,2016-01-06
9700,464,46239,926,2016-01-06
4050,118,58890,470,2016-01-06
335,1,388,2783,2016-01-06
910,5,885,531,2016-01-06
2551,124,1129,3208,2016-01-06
50,128,231,651,2016-01-04
800,9,2168,682,2016-01-04
145,0,949,347,2016-01-04
760,199,18328,378,2016-01-03
1950,316,59947,439,2016-01-03
250,24,3841,2204,2016-01-03
999,3,3856,1381,2016-01-03
1800,12,39749,682,2016-01-03
175,55,8284,1077,2016-01-02
5,-5,496,470,2016-01-02
35,0,4394,470,2016-01-02
1200,50,513,773,2016-01-01
125,0,31,378,2016-01-01
499,51,333,378,2016-01-01
7500,1997,13929,957,2016-01-01
135,0,36,347,2015-12-31
550,27,19891,1626,2015-12-31
3000,-76,1183,4244,2015-12-31
500,20,33139,561,2015-12-31
800,63,1685,439,2015-12-31
475,18,1532,743,2015-12-31
2600,117,19950,408,2015-12-31
700,50,17907,926,2015-12-30
400,79,6115,378,2015-12-30
210,107,6649,378,2015-12-30
125,14,265,1077,2015-12-30
220,3,2309,378,2015-12-30
450,23,1742,1747,2015-12-29
3000,325,3676,1322,2015-12-29
406,3,405,2538,2015-12-28
10000,285,125427,1138,2015-12-28
997,91,0,1869,2015-12-28
6999,223,7658,500,2015-12-27
905,484,21896,408,2015-12-26
90,0,164,743,2015-12-26
200,39,0,926,2015-12-26
555,22,5244,561,2015-12-25
990,294,1756,439,2015-12-24
4900,508,151054,531,2015-12-24
200,12,1419,2234,2015-12-24
3150,13,2199,2053,2015-12-24
575,1,2755,1016,2015-12-24
225,-5,2297,1931,2015-12-23
199,19,0,470,2015-12-23
3550,-27,15682,1381,2015-12-23
150,1,246,561,2015-12-22
50,0,43,378,2015-12-22
49,4,105,347,2015-12-20
150,495,748,378,2015-12-20
801,375,20712,500,2015-12-19
185,28,41028,408,2015-12-19
558,41,1901,439,2015-12-19
100,-1,107,651,2015-12-19
900,0,2581,592,2015-12-18
805,126,32200,592,2015-12-18
3400,5,4047,4244,2015-12-17
1795,99,8860,1626,2015-12-17
101,0,22,439,2015-12-17
8051,1322,7707,743,2015-12-16
